price,rating,Dual_Sim,4G,5G,Vo5G,NFC,IR_Blaster,Processor_Brand,Processor_Series,Core_Count,Clock_Speed_GHz,Performance_Tier,RAM Size GB,Storage Size GB,RAM Tier,battery_capacity,fast_charging_power,Screen_Size,Resolution_Width,Resolution_Height,Refresh_Rate,Notch_Type,primary_rear_camera_mp,num_rear_cameras,primary_front_camera_mp,num_front_cameras,memory_card_support,memory_card_size,os_name,os_version,brand
non-expensive,84.0,Yes,Yes,No,No,Yes,No,Helio,95,8.0,2.4,Unknown,8.0,256.0,High-End,21000.0,33,6.78,1080.0,2400.0,60.0,Punch Hole,64.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,Oukitel
non-expensive,81.0,Yes,Yes,Yes,No,No,No,Dimensity,920,8.0,2.5,Unknown,6.0,128.0,Mid-Range,5000.0,33,6.4,1080.0,2400.0,90.0,Punch Hole,48.0,3.0,16.0,1.0,Yes,256 GB,Android,v12,Realme Narzo
non-expensive,83.0,Yes,Yes,Yes,No,No,No,Dimensity,920,8.0,2.5,Unknown,8.0,128.0,High-End,4200.0,44,6.44,1080.0,2400.0,90.0,Small Notch,64.0,3.0,50.0,2.0,No,1 TB,Android,v12,Vivo
expensive,82.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,870,8.0,3.2,Flagship,8.0,128.0,High-End,5000.0,65,6.62,2400.0,1080.0,120.0,Punch Hole,64.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,Realme
non-expensive,83.0,Yes,Yes,No,No,Yes,No,Helio,99,8.0,2.2,Mid-Range,8.0,256.0,High-End,5000.0,66,6.67,1080.0,2400.0,120.0,Punch Hole,50.0,3.0,16.0,1.0,Yes,1 TB,Android,v13,Oppo
non-expensive,74.0,Yes,Yes,No,No,Yes,No,Other,Unknown,8.0,2.4,Unknown,8.0,128.0,High-End,6000.0,0,6.5,1080.0,2400.0,60.0,Water Drop Notch,64.0,3.0,32.0,1.0,Yes,1 TB,Android,v12,Samsung
expensive,80.0,Yes,Yes,Yes,No,Yes,No,Exynos,990,8.0,2.73,Unknown,8.0,128.0,High-End,4500.0,25,6.7,1440.0,3200.0,60.0,Punch Hole,64.0,1.0,10.0,1.0,Yes,1 TB,Android,v10,Samsung
non-expensive,69.0,Yes,Yes,No,No,No,No,Helio,35,8.0,2.3,Unknown,4.0,64.0,Mid-Range,5000.0,18,6.51,720.0,1600.0,60.0,Water Drop Notch,13.0,2.0,8.0,1.0,Yes,1 TB,Android,v11,Vivo
non-expensive,74.0,Yes,Yes,No,No,No,No,Helio,96,8.0,2.05,Unknown,4.0,64.0,Mid-Range,5000.0,18,6.6,1080.0,2412.0,120.0,Punch Hole,50.0,3.0,16.0,1.0,Yes,256 GB,Android,v11,Realme
expensive,89.0,Yes,Yes,Yes,No,No,No,Dimensity,920,8.0,2.5,Unknown,8.0,256.0,High-End,4500.0,180,6.8,1080.0,2400.0,120.0,Punch Hole,200.0,3.0,32.0,1.0,Yes,1 TB,Android,v12,Infinix
expensive,75.0,Yes,Yes,Yes,No,Yes,No,Bionic,14,6.0,3.1,Unknown,4.0,128.0,Mid-Range,5000.0,0,6.58,1080.0,2400.0,90.0,Unknown,50.0,0.0,16.0,0.0,Yes,1 TB,Android,v12,Apple
non-expensive,77.0,Yes,Yes,Yes,No,No,Yes,Dimensity,700,8.0,2.2,Unknown,6.0,128.0,Mid-Range,5000.0,18,6.58,1080.0,2408.0,90.0,Water Drop Notch,50.0,2.0,5.0,1.0,Yes,512 GB,Android,v12,Xiaomi
non-expensive,68.0,Yes,Yes,No,No,No,No,Snapdragon,460,8.0,1.8,Budget,4.0,64.0,Mid-Range,5000.0,18,6.52,720.0,1600.0,90.0,Punch Hole,13.0,3.0,8.0,1.0,Yes,256 GB,Android,v10,OnePlus
expensive,80.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,8,8.0,3.2,Unknown,8.0,256.0,High-End,5000.0,67,7.1,1792.0,1920.0,120.0,Punch Hole,50.0,0.0,16.0,0.0,Yes,1 TB,Android,v12,Oppo
non-expensive,75.0,Yes,Yes,No,No,No,No,Exynos,850,8.0,2.4,Unknown,6.0,128.0,Mid-Range,6000.0,15,6.6,1080.0,2400.0,60.0,Water Drop Notch,50.0,3.0,8.0,1.0,Yes,1 TB,Android,v12,Samsung
non-expensive,76.0,Yes,Yes,No,No,No,Yes,Snapdragon,720,8.0,2.3,High-End,4.0,64.0,Mid-Range,5020.0,18,6.67,1080.0,2400.0,60.0,Punch Hole,48.0,1.0,16.0,1.0,Yes,512 GB,Android,v10.0,Xiaomi
non-expensive,60.0,Yes,Yes,No,No,No,No,Helio,35,8.0,2.3,Unknown,2.0,32.0,Budget,5000.0,10,6.51,720.0,1600.0,60.0,Water Drop Notch,8.0,1.0,5.0,1.0,Yes,1 TB,Android,v11,Vivo
non-expensive,80.0,Yes,Yes,No,No,No,No,Helio,22,4.0,2.4,Unknown,2.0,32.0,Budget,5000.0,0,6.6,720.0,1600.0,60.0,Water Drop Notch,8.0,1.0,5.0,1.0,Yes,512 GB,Android,v11,Infinix
expensive,84.0,Yes,Yes,Yes,No,Yes,No,Google Tensor,2,8.0,2.8,Unknown,8.0,128.0,High-End,4614.0,30,6.4,1080.0,2400.0,90.0,Punch Hole,50.0,2.0,8.0,1.0,Yes,1 TB,Android,v12,Google
non-expensive,69.0,Yes,Yes,No,No,No,No,Snapdragon,460,8.0,1.8,Budget,4.0,64.0,Mid-Range,6000.0,18,6.52,720.0,1560.0,60.0,Punch Hole,13.0,3.0,8.0,1.0,Yes,1 TB,Android,v10,OnePlus
non-expensive,80.0,Yes,Yes,No,No,No,No,Other,3,8.0,2.4,Unknown,6.0,128.0,Unknown,5000.0,0,6.58,1080.0,2400.0,90.0,Unknown,50.0,0.0,16.0,0.0,Yes,1 TB,Android,v12,itel
non-expensive,62.0,Yes,Yes,No,No,No,No,Unisoc,9863,8.0,1.6,Unknown,4.0,64.0,Mid-Range,5000.0,0,6.5,720.0,1600.0,60.0,Water Drop Notch,8.0,1.0,5.0,1.0,Yes,256 GB,Android,v11,Realme Narzo
non-expensive,68.0,Yes,Yes,No,No,No,No,Helio,35,8.0,2.3,Unknown,4.0,64.0,Mid-Range,5000.0,0,6.53,720.0,1600.0,60.0,Water Drop Notch,13.0,2.0,5.0,1.0,Yes,512 GB,Android,v10,Xiaomi
non-expensive,87.0,Yes,Yes,Yes,No,No,Yes,Snapdragon,695,8.0,2.2,Unknown,8.0,256.0,High-End,5000.0,67,6.67,1080.0,2400.0,120.0,Punch Hole,108.0,3.0,16.0,1.0,Yes,1 TB,Android,v11,Xiaomi
non-expensive,75.0,Yes,Yes,No,No,No,Yes,Snapdragon,678,8.0,2.2,Mid-Range,4.0,64.0,Mid-Range,5000.0,33,6.43,1080.0,2400.0,60.0,Punch Hole,48.0,1.0,13.0,1.0,Yes,512 GB,Android,v11,Xiaomi
expensive,88.0,Yes,Yes,Yes,No,Yes,Yes,Dimensity,9200,8.0,3.05,Unknown,8.0,128.0,High-End,4810.0,120,6.78,1260.0,2800.0,120.0,Punch Hole,50.0,3.0,32.0,1.0,No,1 TB,Android,v13,Vivo
non-expensive,83.0,Yes,Yes,Yes,No,No,No,Dimensity,900,8.0,2.4,Unknown,8.0,128.0,High-End,4500.0,44,6.44,1080.0,2408.0,90.0,Water Drop Notch,64.0,3.0,50.0,1.0,Yes,1 TB,Android,v12,Vivo
non-expensive,78.0,Yes,Yes,No,No,No,No,Other,2,8.0,2.4,Unknown,6.0,128.0,Mid-Range,5000.0,25,6.6,1080.0,2408.0,60.0,Water Drop Notch,50.0,1.0,8.0,1.0,Yes,1 TB,Android,v12,Samsung
expensive,80.0,Yes,Yes,Yes,No,No,No,Snapdragon,8 Gen1,8.0,2.4,Unknown,12.0,256.0,Flagship,6000.0,65,6.9,1400.0,3200.0,120.0,Punch Hole,200.0,1.0,32.0,1.0,Yes,1 TB,Android,v12.1,Nokia
expensive,80.0,Yes,Yes,Yes,No,Yes,Yes,Snapdragon,888,8.0,2.84,Unknown,12.0,256.0,Flagship,5020.0,67,8.01,1860.0,2480.0,90.0,No Notch,50.0,0.0,16.0,0.0,Yes,1 TB,Android,v10,Xiaomi
non-expensive,84.0,Yes,Yes,Yes,No,Yes,No,Dimensity,1200,8.0,2.4,Unknown,8.0,128.0,High-End,4500.0,50,6.43,1080.0,2400.0,120.0,Punch Hole,64.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,Realme
non-expensive,75.0,Yes,Yes,Yes,No,No,No,Dimensity,810,8.0,2.4,Unknown,4.0,64.0,Mid-Range,5000.0,18,6.6,1080.0,2408.0,120.0,Water Drop Notch,50.0,1.0,8.0,1.0,Yes,1 TB,Android,v12,Infinix
non-expensive,78.0,Yes,Yes,Yes,No,No,No,Snapdragon,695,8.0,2.2,Mid-Range,6.0,128.0,Mid-Range,5000.0,60,6.6,1080.0,2412.0,120.0,Punch Hole,50.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,Realme
non-expensive,78.0,Yes,Yes,Yes,No,No,No,Snapdragon,695,8.0,2.2,Unknown,4.0,128.0,Mid-Range,5000.0,18,6.58,1080.0,2408.0,120.0,Water Drop Notch,50.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,iQOO
non-expensive,77.0,Yes,Yes,Yes,No,No,No,Snapdragon,480,8.0,2.4,Unknown,6.0,128.0,Mid-Range,5000.0,18,6.5,1080.0,2400.0,90.0,Punch Hole,48.0,3.0,8.0,1.0,Yes,1 TB,Android,v11,OPPO
expensive,81.0,Yes,Yes,Yes,No,Yes,No,Bionic,15,6.0,3.22,Unknown,6.0,128.0,Mid-Range,3279.0,0,6.1,1170.0,2532.0,60.0,Small Notch,12.0,2.0,12.0,1.0,No,1 TB,iOS,v16,Apple
expensive,63.0,Yes,Yes,No,No,Yes,No,Bionic,13,6.0,2.65,Unknown,3.0,64.0,Budget,1821.0,18,4.7,750.0,1334.0,60.0,No Notch,12.0,1.0,7.0,1.0,Yes,1 TB,Android,v12,Apple
expensive,87.0,Yes,Yes,Yes,No,No,No,Snapdragon,870,8.0,3.2,Unknown,6.0,128.0,Mid-Range,6000.0,33,6.51,1080.0,2400.0,144.0,Punch Hole,200.0,1.0,16.0,1.0,Yes,1 TB,Android,v12,Nokia
expensive,85.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,8,8.0,3.2,Flagship,8.0,128.0,High-End,4800.0,150,6.7,1080.0,2412.0,120.0,Punch Hole,50.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,OnePlus
expensive,78.0,Yes,Yes,Yes,No,Yes,No,Bionic,16,6.0,2.4,Unknown,6.0,512.0,Mid-Range,4323.0,0,6.7,1290.0,2796.0,120.0,No Notch,48.0,3.0,12.0,1.0,No,1 TB,iOS,v16,Apple
non-expensive,75.0,Yes,Yes,Yes,No,No,No,Dimensity,700,8.0,2.2,Unknown,4.0,128.0,Mid-Range,5000.0,18,6.5,1080.0,2400.0,90.0,Punch Hole,48.0,3.0,16.0,1.0,Yes,1 TB,Android,v11,Realme
non-expensive,86.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,695,8.0,2.2,Unknown,8.0,256.0,High-End,4500.0,33,6.43,1080.0,2400.0,60.0,Punch Hole,64.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,OPPO
non-expensive,68.0,Yes,Yes,No,No,No,No,Helio,35,8.0,2.3,Unknown,4.0,64.0,Mid-Range,5000.0,15,6.5,720.0,1600.0,60.0,Water Drop Notch,13.0,2.0,5.0,1.0,Yes,1 TB,Android,v12,Samsung
non-expensive,72.0,Yes,Yes,No,No,No,No,Helio,35,8.0,2.3,Unknown,4.0,128.0,Mid-Range,5000.0,0,6.5,720.0,1600.0,60.0,Water Drop Notch,50.0,2.0,5.0,1.0,Yes,1 TB,Android,v12,Samsung
non-expensive,76.0,Yes,Yes,Yes,No,No,No,Dimensity,700,8.0,2.2,Unknown,6.0,128.0,Mid-Range,5000.0,33,6.56,720.0,1612.0,90.0,Water Drop Notch,50.0,2.0,8.0,1.0,Yes,1 TB,Android,v12,OPPO
non-expensive,84.0,Yes,Yes,Yes,No,Yes,Yes,Snapdragon,8,8.0,3.2,Unknown,8.0,128.0,High-End,5500.0,67,6.67,1440.0,3200.0,120.0,Punch Hole,64.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,Xiaomi
non-expensive,75.0,Yes,Yes,Yes,No,No,No,Dimensity,900,8.0,2.4,Mid-Range,8.0,128.0,High-End,4300.0,66,6.67,1080.0,2340.0,120.0,Punch Hole,64.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,Honor
non-expensive,75.0,Yes,Yes,No,No,No,No,Helio,35,8.0,2.3,Unknown,6.0,128.0,Mid-Range,5000.0,15,6.5,720.0,1560.0,60.0,Water Drop Notch,48.0,1.0,8.0,1.0,Yes,1 TB,Android,v10,Samsung
non-expensive,71.0,Yes,Yes,No,No,No,No,Other,700,8.0,1.8,Unknown,4.0,64.0,Mid-Range,5000.0,0,6.5,720.0,1600.0,90.0,Punch Hole,48.0,3.0,8.0,1.0,Yes,1 TB,Android,v11,Motorola
non-expensive,64.0,Yes,Yes,No,No,No,No,Other,612,8.0,1.82,Unknown,4.0,64.0,Mid-Range,5000.0,10,6.5,720.0,1600.0,60.0,Water Drop Notch,8.0,1.0,5.0,1.0,Yes,1 TB,Android,v11,Realme Narzo
non-expensive,84.0,Yes,Yes,No,No,Yes,No,Helio,96,8.0,2.05,Unknown,8.0,128.0,High-End,5000.0,33,6.8,1080.0,2460.0,120.0,Punch Hole,64.0,3.0,32.0,1.0,Yes,512 GB,Android,v12,Tecno
non-expensive,72.0,Yes,Yes,No,No,No,No,Helio,35,8.0,2.3,Unknown,4.0,64.0,Mid-Range,5000.0,18,6.6,1080.0,2408.0,60.0,Water Drop Notch,50.0,2.0,8.0,1.0,Yes,1 TB,Android,v12,Tecno
non-expensive,79.0,Yes,Yes,Yes,No,No,No,Dimensity,700,8.0,2.2,Unknown,8.0,128.0,High-End,5000.0,33,6.6,1080.0,2408.0,90.0,Water Drop Notch,50.0,2.0,8.0,1.0,Yes,1 TB,Android,v12,Realme
non-expensive,83.0,Yes,Yes,Yes,No,No,Yes,Snapdragon,695,8.0,2.2,Unknown,6.0,128.0,Mid-Range,5000.0,67,6.67,1080.0,2400.0,120.0,Punch Hole,108.0,3.0,16.0,1.0,Yes,1 TB,Android,v11,Xiaomi
non-expensive,69.0,Yes,Yes,No,No,No,No,Helio,35,8.0,2.3,Unknown,4.0,64.0,Mid-Range,5000.0,0,6.52,720.0,1600.0,60.0,Water Drop Notch,13.0,3.0,8.0,1.0,Yes,1 TB,Android,v11,OPPO
non-expensive,79.0,Yes,Yes,No,No,No,No,Snapdragon,680,8.0,2.4,Mid-Range,6.0,128.0,Mid-Range,5000.0,44,6.44,1080.0,2408.0,60.0,Water Drop Notch,50.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,Vivo
non-expensive,85.0,Yes,Yes,No,No,No,No,Snapdragon,720,8.0,2.3,High-End,8.0,128.0,High-End,4500.0,65,6.4,1080.0,2400.0,60.0,Punch Hole,64.0,1.0,32.0,1.0,Yes,256 GB,Android,v10,Realme
expensive,82.0,Yes,Yes,Yes,No,Yes,No,Bionic,15,6.0,3.22,Unknown,6.0,128.0,Mid-Range,4325.0,0,6.7,1284.0,2778.0,60.0,Small Notch,12.0,2.0,12.0,1.0,No,1 TB,iOS,v16,Apple
expensive,86.0,Yes,Yes,Yes,No,Yes,Yes,Snapdragon,888,8.0,2.84,Unknown,8.0,128.0,High-End,5000.0,120,6.67,1080.0,2400.0,120.0,Punch Hole,108.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,Xiaomi
non-expensive,85.0,Yes,Yes,Yes,No,No,No,Snapdragon,870,8.0,3.2,Unknown,8.0,128.0,High-End,4700.0,80,6.62,1080.0,2400.0,120.0,Punch Hole,64.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,Vivo
non-expensive,66.0,Yes,Yes,No,No,No,No,Helio,35,8.0,2.3,Unknown,3.0,64.0,Budget,5000.0,0,6.5,720.0,1600.0,60.0,Water Drop Notch,13.0,2.0,5.0,1.0,Yes,1 TB,Android,v12,Samsung
expensive,84.0,Yes,Yes,Yes,No,No,No,Snapdragon,7 Gen1,8.0,2.4,Unknown,8.0,256.0,High-End,5000.0,80,6.67,1080.0,2400.0,120.0,Punch Hole,64.0,3.0,32.0,1.0,Yes,1 TB,Android,v13,Vivo
expensive,87.0,Yes,Yes,Yes,No,Yes,No,Dimensity,9000,8.0,3.2,Flagship,12.0,256.0,Flagship,4800.0,100,6.7,1080.0,2400.0,120.0,Punch Hole,64.0,3.0,32.0,1.0,Yes,1 TB,Android,v12,Vivo
non-expensive,86.0,Yes,Yes,No,No,No,No,Snapdragon,720,8.0,2.3,Unknown,8.0,128.0,High-End,4500.0,25,6.5,1080.0,2400.0,90.0,Punch Hole,64.0,1.0,32.0,1.0,Yes,1 TB,Android,v11,Samsung
non-expensive,80.0,Yes,Yes,No,No,No,No,Other,Unknown,8.0,2.4,Unknown,6.0,128.0,Unknown,5000.0,0,6.58,1080.0,2400.0,90.0,Unknown,50.0,0.0,16.0,0.0,Yes,1 TB,Android,v12,Nokia
non-expensive,84.0,Yes,Yes,No,No,Yes,No,Snapdragon,680,8.0,2.4,Unknown,8.0,128.0,High-End,4000.0,66,6.78,1080.0,2388.0,90.0,Punch Hole,108.0,1.0,16.0,1.0,Yes,1 TB,Android,v11,Huawei
non-expensive,77.0,Yes,Yes,No,No,Yes,Yes,Snapdragon,732,8.0,2.3,High-End,6.0,128.0,Mid-Range,5000.0,67,6.67,1080.0,2400.0,120.0,Punch Hole,50.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,Xiaomi
non-expensive,60.0,Yes,Yes,No,No,No,No,Exynos,1330,8.0,2.4,Unknown,4.0,64.0,Mid-Range,6000.0,0,6.5,720.0,1600.0,60.0,Water Drop Notch,48.0,3.0,8.0,1.0,Yes,512 GB,Android,v13,Samsung
non-expensive,80.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,778,8.0,2.5,High-End,6.0,128.0,Mid-Range,5000.0,33,6.55,1080.0,2400.0,120.0,Punch Hole,50.0,2.0,16.0,1.0,Yes,1 TB,Android,v12,Nothing
non-expensive,84.0,Yes,Yes,No,No,Yes,No,Snapdragon,732,8.0,2.3,Unknown,6.0,128.0,Mid-Range,6000.0,20,6.78,1080.0,2460.0,120.0,Punch Hole,108.0,3.0,32.0,1.0,Yes,1 TB,Android,v11,Motorola
non-expensive,82.0,Yes,Yes,Yes,No,Yes,Yes,Dimensity,8200,8.0,3.1,Unknown,8.0,128.0,High-End,5000.0,120,6.78,1080.0,2400.0,120.0,Punch Hole,64.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,iQOO
non-expensive,80.0,Yes,Yes,No,No,No,No,Unisoc,Unknown,8.0,2.4,Unknown,4.0,32.0,Mid-Range,4000.0,0,6.5,720.0,1560.0,60.0,Small Notch,13.0,1.0,8.0,1.0,Yes,1 TB,Android,v12,Letv
expensive,83.0,Yes,Yes,Yes,No,Yes,No,Bionic,15,6.0,3.22,Unknown,6.0,256.0,Mid-Range,3095.0,0,6.1,1170.0,2532.0,120.0,Large Notch,12.0,3.0,12.0,1.0,No,1 TB,iOS,v15.0,Apple
non-expensive,63.0,Yes,Yes,No,No,No,No,Helio,37,8.0,2.3,Unknown,3.0,64.0,Budget,5000.0,0,6.6,720.0,1600.0,90.0,Water Drop Notch,13.0,1.0,8.0,1.0,Yes,256 GB,Android,v12,Tecno
non-expensive,84.0,Yes,Yes,No,No,No,No,Helio,96,8.0,2.05,Unknown,8.0,128.0,High-End,4500.0,120,6.7,1080.0,2400.0,120.0,Punch Hole,108.0,3.0,16.0,1.0,Yes,256 GB,Android,v12,Infinix
expensive,89.0,Yes,Yes,Yes,No,Yes,No,Exynos,1280,8.0,2.4,Mid-Range,8.0,256.0,High-End,5000.0,25,6.5,1080.0,2400.0,120.0,Punch Hole,64.0,1.0,32.0,1.0,Yes,1 TB,Android,v12,Samsung
non-expensive,80.0,Yes,Yes,Yes,No,No,No,Dimensity,810,8.0,2.4,Unknown,6.0,128.0,Mid-Range,5000.0,33,6.5,1080.0,2400.0,90.0,Punch Hole,64.0,3.0,16.0,1.0,Yes,1 TB,Android,v11,Realme
expensive,75.0,Yes,Yes,Yes,No,Yes,No,Bionic,14,6.0,3.1,Unknown,4.0,256.0,Mid-Range,5000.0,0,6.58,1080.0,2400.0,90.0,Unknown,50.0,0.0,16.0,0.0,Yes,1 TB,Android,v12,Apple
non-expensive,63.0,Yes,Yes,No,No,No,No,Helio,25,8.0,2.4,Unknown,3.0,64.0,Budget,5000.0,0,6.82,720.0,1600.0,60.0,Water Drop Notch,8.0,1.0,5.0,1.0,Yes,512 GB,Android,v12,Infinix
non-expensive,82.0,Yes,Yes,Yes,No,No,No,Snapdragon,695,8.0,2.2,Unknown,8.0,128.0,High-End,5000.0,33,6.6,1080.0,2412.0,120.0,Punch Hole,64.0,3.0,16.0,1.0,Yes,256 GB,Android,v12,Realme
non-expensive,67.0,Yes,Yes,No,No,Yes,No,Other,Unknown,8.0,2.4,Unknown,4.0,64.0,Mid-Range,5000.0,25,6.62,2408.0,1080.0,60.0,Punch Hole,50.0,3.0,16.0,1.0,Yes,1 TB,Android,v13,Samsung
non-expensive,67.0,No,Yes,No,No,Yes,No,Snapdragon,670,8.0,2.4,Mid-Range,4.0,64.0,Mid-Range,3700.0,18,6.0,1080.0,2160.0,60.0,No Notch,2.0,1.0,8.0,1.0,Yes,1 TB,Android,v12,Google
expensive,86.0,Yes,Yes,Yes,No,Yes,No,Dimensity,8100,8.0,2.85,Unknown,8.0,128.0,High-End,5000.0,80,6.7,1080.0,2412.0,120.0,Punch Hole,50.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,OnePlus
non-expensive,73.0,Yes,Yes,Yes,No,No,No,Dimensity,700,8.0,2.2,Unknown,6.0,128.0,Mid-Range,5000.0,0,6.5,720.0,1600.0,60.0,Water Drop Notch,13.0,2.0,8.0,1.0,Yes,1 TB,Android,v11,Oppo
non-expensive,81.0,Yes,Yes,No,No,No,Yes,Snapdragon,732,8.0,2.3,Unknown,6.0,64.0,Mid-Range,5020.0,33,6.67,1080.0,2400.0,120.0,Punch Hole,108.0,1.0,16.0,1.0,Yes,512 GB,Android,v11,Xiaomi
non-expensive,71.0,Yes,Yes,No,No,No,No,Helio,35,8.0,2.3,Unknown,4.0,128.0,Mid-Range,5000.0,33,6.56,720.0,1600.0,60.0,Water Drop Notch,50.0,1.0,8.0,1.0,Yes,1 TB,Android,v12,OPPO
non-expensive,73.0,Yes,Yes,No,No,No,No,Exynos,850,8.0,2.4,Unknown,4.0,64.0,Mid-Range,6000.0,15,6.5,720.0,1600.0,90.0,Water Drop Notch,48.0,1.0,8.0,1.0,Yes,512 GB,Android,v11,Samsung
non-expensive,65.0,Yes,Yes,No,No,No,No,Helio,37,8.0,2.3,Unknown,4.0,64.0,Mid-Range,5000.0,0,6.6,720.0,1600.0,90.0,Water Drop Notch,13.0,1.0,8.0,1.0,Yes,256 GB,Android,v12,Tecno
non-expensive,83.0,Yes,Yes,Yes,No,No,No,Snapdragon,695,8.0,2.2,Unknown,8.0,128.0,High-End,5000.0,18,6.58,1080.0,2408.0,120.0,Water Drop Notch,50.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,Vivo
non-expensive,85.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,870,8.0,3.2,Flagship,8.0,128.0,High-End,4600.0,66,6.78,1080.0,2400.0,120.0,Punch Hole,64.0,3.0,50.0,1.0,Yes,1 TB,Android,v12,Vivo
non-expensive,71.0,Yes,Yes,No,No,No,No,Helio,88,8.0,2.4,Unknown,4.0,64.0,Mid-Range,5000.0,0,6.78,1080.0,2480.0,90.0,Punch Hole,50.0,2.0,8.0,1.0,Yes,256 GB,Android,v11,Infinix
expensive,89.0,Yes,Yes,Yes,No,Yes,No,Other,2,8.0,2.8,Unknown,12.0,128.0,Flagship,5003.0,30,6.71,1440.0,3120.0,120.0,Punch Hole,50.0,3.0,1.0,1.0,Yes,1 TB,Android,v12,Google
non-expensive,82.0,Yes,Yes,No,No,No,No,Snapdragon,680,8.0,2.4,Unknown,8.0,128.0,High-End,5000.0,25,6.6,1080.0,2408.0,60.0,Water Drop Notch,50.0,1.0,8.0,1.0,Yes,1 TB,Android,v12,Samsung
non-expensive,84.0,Yes,Yes,No,No,No,No,Snapdragon,680,8.0,2.4,Mid-Range,8.0,128.0,High-End,5000.0,33,6.4,1080.0,2400.0,90.0,Punch Hole,108.0,3.0,16.0,1.0,Yes,256 GB,Android,v12,Realme
expensive,85.0,Yes,Yes,Yes,No,Yes,Yes,Snapdragon,8 Gen2,8.0,3.2,Flagship,8.0,128.0,High-End,5000.0,120,6.67,1440.0,3200.0,120.0,Punch Hole,54.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,Xiaomi
non-expensive,80.0,Yes,Yes,No,No,No,No,Unisoc,9832,4.0,1.4,Unknown,2.0,32.0,Budget,3020.0,0,5.0,854.0,480.0,60.0,No Notch,2.0,1.0,3.0,1.0,Yes,1 TB,Android,v12,Itel
non-expensive,77.0,Yes,Yes,No,No,No,No,Helio,88,8.0,2.4,Unknown,6.0,128.0,Mid-Range,7000.0,33,6.9,1080.0,2460.0,90.0,Punch Hole,50.0,3.0,8.0,1.0,Yes,256 GB,Android,v11,Tecno
non-expensive,79.0,Yes,Yes,Yes,No,No,Yes,Dimensity,1080,8.0,2.6,Unknown,6.0,128.0,Mid-Range,5000.0,67,6.67,1080.0,2400.0,120.0,Punch Hole,50.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,Xiaomi
non-expensive,62.0,Yes,Yes,No,No,No,No,Helio,22,4.0,2.4,Unknown,3.0,32.0,Budget,5000.0,10,6.56,720.0,1600.0,60.0,Water Drop Notch,13.0,1.0,5.0,1.0,Yes,256 GB,Android,v12,Tecno
expensive,88.0,Yes,Yes,Yes,No,Yes,No,Exynos,2100,8.0,2.9,Unknown,8.0,256.0,High-End,4500.0,25,6.4,1080.0,2340.0,120.0,Punch Hole,12.0,3.0,32.0,1.0,No,1 TB,Android,v11,Samsung
non-expensive,76.0,Yes,Yes,Yes,No,No,Yes,Dimensity,700,8.0,2.2,Unknown,4.0,128.0,Mid-Range,5000.0,18,6.5,1080.0,2400.0,90.0,Punch Hole,48.0,3.0,8.0,1.0,Yes,512 GB,Android,v11,Xiaomi
expensive,89.0,No,Yes,Yes,No,Yes,No,Snapdragon,865,8.0,2.84,Unknown,12.0,256.0,Flagship,5000.0,18,6.7,1080.0,2340.0,90.0,Punch Hole,108.0,3.0,25.0,1.0,Yes,1 TB,Android,v12,Motorola Edge
non-expensive,85.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,778,8.0,2.5,High-End,8.0,128.0,High-End,4020.0,33,6.5,1080.0,2400.0,144.0,Punch Hole,50.0,3.0,32.0,1.0,Yes,1 TB,Android,v12,Motorola Edge
expensive,84.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,888,8.0,2.84,Unknown,8.0,128.0,High-End,4000.0,66,6.62,1080.0,2400.0,120.0,Punch Hole,48.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,iQOO
non-expensive,82.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,750,8.0,2.2,Unknown,6.0,128.0,Mid-Range,5000.0,20,6.67,1080.0,2400.0,60.0,Punch Hole,48.0,3.0,16.0,1.0,Yes,1 TB,Android,v10,Motorola
